symbol,company_name,sector,index
CFLT,"Confluent, Inc.",Information Technology,RUSSELL1000
COP,ConocoPhillips,Energy,RUSSELL1000
ED,Consolidated Edison,Utilities,RUSSELL1000
STZ,Constellation Brands,Consumer Staples,RUSSELL1000
CEG,Constellation Energy,Utilities,RUSSELL1000
COO,Cooper Companies (The),Health Care,RUSSELL1000
CPRT,Copart,Industrials,RUSSELL1000
CNM,Core & Main,Industrials,RUSSELL1000
GLW,Corning Inc.,Information Technology,RUSSELL1000
CPAY,Corpay,Financials,RUSSELL1000
CTVA,Corteva,Materials,RUSSELL1000
CSGP,CoStar Group,Industrials,RUSSELL1000
COST,Costco,Consumer Staples,RUSSELL1000
CTRA,Coterra,Energy,RUSSELL1000
COTY,Coty,Consumer Staples,RUSSELL1000
CPNG,Coupang,Consumer Discretionary,RUSSELL1000
CUZ,Cousins Properties,Real Estate,RUSSELL1000
CR,Crane Co.,Industrials,RUSSELL1000
CXT,Crane NXT,Industrials,RUSSELL1000
CACC,Credit Acceptance,Financials,RUSSELL1000
CRH,CRH plc,Materials,RUSSELL1000
CROX,Crocs,Consumer Discretionary,RUSSELL1000
CRWD,CrowdStrike,Information Technology,RUSSELL1000
CCI,Crown Castle,Real Estate,RUSSELL1000
CCK,Crown Holdings,Materials,RUSSELL1000
CSX,CSX Corporation,Industrials,RUSSELL1000
CUBE,CubeSmart,Real Estate,RUSSELL1000
CMI,Cummins,Industrials,RUSSELL1000
CW,Curtiss-Wright,Industrials,RUSSELL1000
CVS,CVS Health,Health Care,RUSSELL1000
DHI,D. R. Horton,Consumer Discretionary,RUSSELL1000
DHR,Danaher Corporation,Health Care,RUSSELL1000
DRI,Darden Restaurants,Consumer Discretionary,RUSSELL1000
DAR,Darling Ingredients,Consumer Staples,RUSSELL1000
DDOG,Datadog,Information Technology,RUSSELL1000
DVA,DaVita,Health Care,RUSSELL1000
DAY,Dayforce,Industrials,RUSSELL1000
DECK,Deckers Brands,Consumer Discretionary,RUSSELL1000
DE,Deere & Company,Industrials,RUSSELL1000
DAL,Delta Air Lines,Industrials,RUSSELL1000
DELL,Dell Technologies,Information Technology,RUSSELL1000
XRAY,Dentsply Sirona,Health Care,RUSSELL1000
DVN,Devon Energy,Energy,RUSSELL1000
DXCM,Dexcom,Health Care,RUSSELL1000
FANG,Diamondback Energy,Energy,RUSSELL1000
DKS,Dick's Sporting Goods,Consumer Discretionary,RUSSELL1000
DLR,Digital Realty,Real Estate,RUSSELL1000
DDS,Dillard's,Consumer Discretionary,RUSSELL1000
DOCU,DocuSign,Information Technology,RUSSELL1000
DLB,Dolby Laboratories,Information Technology,RUSSELL1000
DG,Dollar General,Consumer Staples,RUSSELL1000
DLTR,Dollar Tree,Consumer Staples,RUSSELL1000
D,Dominion Energy,Utilities,RUSSELL1000
DPZ,Domino's,Consumer Discretionary,RUSSELL1000
DCI,Donaldson Company,Industrials,RUSSELL1000
DASH,DoorDash,Consumer Discretionary,RUSSELL1000
DV,DoubleVerify,Information Technology,RUSSELL1000
DOV,Dover Corporation,Industrials,RUSSELL1000
DOW,Dow Inc.,Materials,RUSSELL1000
DOCS,Doximity,Health Care,RUSSELL1000
DKNG,DraftKings,Consumer Discretionary,RUSSELL1000
DBX,Dropbox,Information Technology,RUSSELL1000
DTM,DT Midstream,Energy,RUSSELL1000
DTE,DTE Energy,Utilities,RUSSELL1000
DUK,Duke Energy,Utilities,RUSSELL1000
DNB,Dun & Bradstreet,Industrials,RUSSELL1000
DUOL,Duolingo,Consumer Discretionary,RUSSELL1000
DD,DuPont,Materials,RUSSELL1000
BROS,Dutch Bros. Coffee,Consumer Discretionary,RUSSELL1000
DXC,DXC Technology,Information Technology,RUSSELL1000
DT,Dynatrace,Information Technology,RUSSELL1000
ELF,e.l.f. Beauty,Consumer Staples,RUSSELL1000
EXP,Eagle Materials,Materials,RUSSELL1000
EWBC,East West Bancorp,Financials,RUSSELL1000
EGP,EastGroup Properties,Real Estate,RUSSELL1000
EMN,Eastman Chemical Company,Materials,RUSSELL1000
ETN,Eaton Corporation,Industrials,RUSSELL1000
